76qVn2VZ9dc,Vs #33 PLAYER! | AoE4 | Grubby,2021-12-08,6802,187,2,34
OFiIQLbLLwM,HRE CHAD MIRROR! | AoE4 | Grubby,2021-11-30,6650,162,3,22
oe14sXofTwA,Grubby Gets Into HUMANKIND Closed Beta!,2021-06-21,9722,272,51,45
DT-sOVl3ex0,Grubby | WC3 | Innocent TOWERRUSH,2020-09-03,26973,447,9,41
jLh1Qgs1Kl0,Grubby | Reforged Beta | 4v4 With Cassandra!,2019-12-08,26646,492,17,92
vbUq7VnoRgg,Grubby | Reforged Beta | New INFERNAL is GORGEOUS!,2019-12-05,46602,700,32,124
CK9Wx0dWXeA,Grubby | Reforged Beta | Male DH is In!,2019-12-05,56017,643,24,172
YTWBthuR7uA,Grubby vs ToD | Hit Me PLS,2019-12-04,31954,553,11,70
CK9Wx0dWXeA,Grubby | Reforged Beta | Male DH is In!,2019-12-05,56017,643,24,172
YTWBthuR7uA,Grubby vs ToD | Hit Me PLS,2019-12-04,31954,553,11,70
ggKi2MmUuuA,Grubby | Pala Mass Expo,2019-12-03,36810,613,9,66
_rFnrtWf3EY,Grubby | &quot;NEW REFORGED MODELS&quot; | Warcraft 3,2019-08-04,79628,1513,61,182
VowuCgOuB0s,Grubby | &quot;THE DEFINITION OF [EPIC]&quot; | Warcraft 3 TFT | UD vs HU | Terenas Stand,2019-07-24,90019,1472,54,143
eLoIaTvixJQ,Grubby | &quot;Monster CLAP&#39;&quot; | Warcraft 3 TFT | HU vs UD | Terenas Stand,2019-07-20,26343,490,4,77
BsUdC3kb1ak,Grubby | &quot;103 Food Army&quot; | Warcraft 3 TFT | UD vs HU | Northern Isles,2019-07-16,35263,496,20,57
FHIGQ9IVEk4,Grubby | &quot;NINJA ORCS GANK SQUAD&quot; | Warcraft 3 TFT | ORC vs NE | Terenas Stand,2019-07-15,25891,710,14,67
kRkPvB_HQ10,Grubby | &quot;Мда&quot; | Warcraft 3 TFT | NE vs ORC | Amazonia,2019-07-05,20208,483,6,95
9KqrDYp6Ecg,Grubby | WC3 | [EPIC] The RANK 1 Game,2020-08-31,41477,1215,17,134
zIb3Zh5KH6A,Grubby | &quot;4v4 Mortar Style&quot; | Warcraft 3 TFT | Sanctuary,2019-06-17,30797,489,7,43
24JRuyeKXHQ,Grubby | &quot;Can&#39;t Believe I Lost This...&quot; | Warcraft 3 | NE vs NE | Turtle Rock,2019-04-11,20702,577,22,57
w4iUrqXU8lI,GRUBBY vs HAPPY | SUPER CLASH | Warcraft 3 TFT,2019-06-20,158650,2588,90,431
KdO_zN96bis,My MAP TIERLIST! | AoE4,2021-12-09,4068,128,1,40
Mz5y7Adwzi4,COLLAB ft. TheViper! - AoE4 Balance Discussion Podcast While Watching Replay | AoE4 | Grubby,2021-12-08,12214,460,6,83
msxpkiL_DsU,Testing FIRELANCERS! | AoE4 | Grubby,2021-12-07,5657,140,3,29
umsQ_-bF0Wk,THE ULTIMATE CHINESE GUIDE | AoE4 | Grubby,2021-12-07,17780,585,13,99
YGuSncyum8I,A Chinese Boom COUNTER! | AoE4,2021-12-06,6628,146,1,29
pEg7ngfBm1A,Aren&#39;t You Casting SOON?! [EPIC] | AoE4,2021-12-06,6860,177,1,26
5TehZgCnrQg,What If I Only Make BARRACKS?! | AoE4,2021-12-05,6265,135,1,26
-bLHwB85uBw,6 THINGS We&#39;ll Do BETTER In 3 Months! | AoE4,2021-12-05,10197,284,2,43
rsgEwHwdxwk,MY Sacred Sites! | AoE4 | Grubby,2021-12-04,4335,107,2,15
bZ7bLY3FRK8,[MYTHICAL] The Best Game EVER! | AoE4 | Grubby,2021-12-04,18864,453,9,79
uD6M1BA0Iks,[Vs Mass Horse Archers] [2 TC Boom Song Dynasty] [Chinese Civ] | AoE4 | Grubby,2021-12-03,5750,165,4,29
Te8mhumCUto,1v1 WONDER vs WONDER! | AoE4 | Grubby,2021-12-03,6609,165,2,33
9dB4E8TaBEY,[LEGENDARY] Only ONE Delhi... Can Be The KING OF THE HILL! | AoE4 | Grubby,2021-12-02,4944,129,2,25
K2tYALwHJtI,My POST-PATCH TIERLIST! | AoE4 | Grubby,2021-12-02,23516,430,6,124
HMygi0F6q2Q,Can&#39;t Beat Longbowmen? WATCH THIS! | AoE4 | Grubby,2021-12-01,13570,272,5,54
htQTNCwmRcE,Should I SURRENDER?! | AoE4 | Grubby,2021-12-01,8764,189,4,26
IUl5NsE_nfA,Updated TIER LIST! | AoE4 | Grubby,2021-11-15,44115,860,38,123
CYjaL3TnCjc,RUS Step by Step BUILD ORDER! | AoE4 | Grubby,2021-11-09,35636,819,19,114
AOzFg-45a2E,Abbasid - CLEAN Build Order! Very Educational! | AOE4 | Grubby,2021-11-07,33405,936,11,89
9aLjZAeEB9w,Holy ROMAN Empire Build Order + demonstration!! | AOE4 | Grubby,2021-11-06,49152,1148,25,164
p4XnTAODcdg,AoE4 Civilizations TIER LIST | Grubby,2021-11-05,37193,681,84,105
US-kl1W5Vwo,"AoE4 - Lots of Helpful Tips  Tricks! Control Grouping, Hotkeys,  More!",2021-11-03,64535,2025,27,185
dQTmb1zybjU,Grubby | AoE4 | Facing DAY[9] ! - DELHI vs FRENCH,2021-10-31,41824,786,18,96
jiQJU_vS_Cg,Delhi Sultanate BUILD ORDER - Double Elephant Push - AOE4 - Grubby,2021-10-28,55230,1275,29,103
OhHWIm3i3_I,Grubby Reacts to 2004 WarCraft III Documentary!,2021-10-21,32141,962,17,202
5GPz35VbkMg,Grubby | WC3 | [LEGENDARY] Facing ToD As ELF!,2021-10-20,29808,956,18,143
CDSdh4Kz8os,Grubby | WC3 | Facing a Shameless CHEATER!,2021-10-16,43336,1067,22,163
OPmafHGvqzk,Grubby | WC3 | We Meet AGAIN! - vs HAPPY,2021-10-09,39871,1389,8,135
LQqm3T2mV08,Grubby | Let&#39;s Talk About RTS Games: WC3 vs SC2 vs AoE IV - PACING,2021-09-24,42500,1404,31,237
GmCP2FYzrJE,Grubby | FIRST Time Playing Age Of Empires 4!,2021-09-19,31693,977,19,173
ixdC7mmw8-A,Grubby | SC2 | Facing The Disruptor KING!,2021-09-12,4173,135,4,33
59uXs7hznEc,Grubby | WC3 | First Time I Face 120!,2021-09-06,25865,766,9,115
3uF1QvOxcJE,Grubby | WC3 | [MYTHICAL] Late Game INSANITY,2021-09-02,60861,1978,24,216
m8XhunX7aeA,Grubby | WC3 | Did NOT Expect That! - vs HAPPY,2021-08-26,33138,1341,16,185
0VWhRdNqlo4,Grubby | WC3 | I Made a New META!,2021-08-24,30242,732,11,99
VJ4o51wm72o,Grubby | WC3 | Facing The WORLD CHAMPION!,2021-08-19,41884,918,21,97
_Q6_c7VTL2s,Grubby | WC3 | Happy (ORC) vs XlorD (UD),2021-07-25,29752,940,17,83
wZ-eQ4Cr90I,Grubby | My Thoughts On The Latest REFORGED NEWS...,2021-07-24,91222,2873,116,669
cRWWj9QaBh8,Grubby | WC3 | A Diverse Bunch!,2021-06-13,11805,342,8,24
HcFFGgp0SF0,Grubby | WC3 | BRAZILLIONAIRE!,2021-06-10,16989,483,8,55
Y8uRg_HmMAk,Grubby | WC3 | Where&#39;s The Mute Command Again?!,2021-05-20,14615,398,10,42
U0EZ67RmPLQ,Grubby | WC3 | I Haven&#39;t Played This In 17 YEARS!,2021-05-17,31413,746,11,103
kyt7xr7miAc,Grubby | WC3 | HAPPY vs INFI - Cast,2021-05-16,36824,929,12,171
L288y2PualM,Grubby | WC3 | [EPIC] MAX 90 Damage TC!,2021-05-01,39545,824,17,63
Vets9Uk1L7U,Grubby | WC3 | HAPPY vs HITMAN - Their First Ladder Match!,2021-04-22,33036,1039,18,134
ywkzxL1aeB8,Grubby | WC3 | Casting HAPPY vs FOGGY!,2021-04-19,29383,741,14,101
3IJimjF4AUA,Grubby | WC3 | The Greatest Towerrush,2021-04-18,40491,1138,23,92
CCCfc3_loaQ,Grubby | WC3 | [LEGENDARY] Twisted Meadows DELIVERS!,2021-04-13,27368,560,14,72
Z_XqgqJaypc,Grubby | Diablo 2: Resurrected | Slaying Andariel  Duriel,2021-04-12,34078,434,27,80
TTVb3I-zYvA,Grubby | WC3 | (SUPER) Late Hidden TOWERS!,2021-04-11,31944,512,13,68
QS6yaMYsc7s,Grubby (WC3 Pro) Plays Diablo 2: Resurrected Tech Alpha #BlizzEarlyAccess,2021-04-09,49523,1944,53,192
aeUJOLaLxjo,Grubby | More News From Blizzard - Patch 1.32.10,2021-03-30,33747,683,18,129
25txnZakNbE,Grubby | WC3 | NEW BUFF(ED) Human!,2021-03-19,30378,744,14,85
I7tTpyl0J9M,Grubby | WC3 | THIS GAME IS [LEGENDARY],2021-03-11,55057,1135,30,112
UAS9kbESWA4,WC3 Reforged 1 Year Later: IS IT STILL SH*T?,2021-01-29,228642,5273,295,991
dug6eRYpsww,Grubby | WC3 2v2 | Mass MGs vs Mass WYRMS!,2021-01-25,11872,253,7,23
FncX4SAjzgE,Grubby | WC3 2v2 | [EPIC] | EVERYONE LVL 6!,2021-01-24,31084,647,12,59
RPh1qyofQtg,Grubby | WC3 2v2 | R U NEW?,2021-01-22,31488,735,16,72
uJ195Tk_UqM,Grubby | WC3 | Bo7 vs Nithala,2021-01-20,40797,438,26,42
lD9xNRTPP_g,Grubby | WC3 | LVL 9 PITLORD!,2021-01-19,31293,679,13,71
jgwvqkIB9Ag,Grubby | WC3 | Perfect Burning Oil Timing - vs Lawliet,2021-01-18,14425,529,8,61
FoSaLtdazoE,Grubby | WC3 | [LEGENDARY] STARFALL TORNADO!,2021-01-12,39813,1061,23,140
7EMuQfhhrbI,Grubby | WC3 | [EPIC] Flying Machines Killing Hero FOOLS!,2021-01-09,30320,757,10,59
cIXE4v6xyoY,GRUBBY vs HAPPY | WC3 | SWEET REVENGE?,2020-12-30,31772,1097,19,147
rlAKBHcZRXQ,Grubby vs Happy | [EPIC] | Here We Go AGAIN!,2020-12-28,51028,1432,31,195
uovuFTT0BNE,Grubby | [LEGENDARY] | Facing Old School BULLY,2020-12-23,26317,603,22,81
567OTBsbuQ0,Grubby | WC3 | 1 Huntress Block,2020-12-21,10631,341,6,14
0CgGWcVT4D4,Grubby | WC3 | SUPERCHARGED Warden (LVL8),2020-12-20,23443,481,16,54
lC6Ey9m7i0w,GRUBBY vs HAPPY | WC3 | We Meet AGAIN!,2020-12-16,32790,832,21,138
DMmJp8u8bb8,Grubby | WC3 | 1000$ ShowMatch vs Sonik - Pt.2,2020-12-13,50236,662,17,83
0rmz0DWnfsU,Grubby | WC3 | Facing PotM MASS DAMAGE!,2020-12-11,19928,452,7,51
y7DK4lEwq-M,GRUBBY vs HAPPY | [EPIC] | It&#39;s NOT OVER!,2020-12-07,55226,1246,16,209
ZOS0kqTfWN8,Grubby vs Happy | WC3 | ROUND 2!,2020-12-05,54878,1316,16,170
LhQgAlt-xCk,Grubby vs Happy | [EPIC] CAN I BEAT HIM?!,2020-12-04,45721,1749,25,231
36-_JbSA5M8,Grubby | WC3 | EPIC | FINALLY LVL 10 CL!,2020-11-30,39276,799,17,69
xo3kLxCHM4k,Grubby | WC3 | 1855 Gold From TRANSMUTE,2020-11-27,28558,610,15,56
CSm6i0tPv-I,Grubby | WC3 | GHOULS + ALL THE AURAS!,2020-11-20,41630,1123,19,102
lkZMlQx6Iy0,Grubby | WC3 | Facing The #1 GM!,2020-11-05,42693,816,20,89
ZILkPRELoDE,Grubby | WC3 | STEAL EVERYTHING!,2020-11-04,19172,552,14,53
Ved2B7WgiGs,Grubby | WC3 4v4 | UNHOLY NIGHT ELVES,2020-11-02,18849,402,8,38
0hOd40gobLM,Grubby | WC3 | Let&#39;s Get Down To BASICS - ORC,2020-10-31,45112,1391,14,116
K9KLnecK7Ss,Grubby | WC3 | [MYTHICAL] A Face Full Of ARROWS!,2020-10-22,35827,928,22,91
1QzsXmSYIOI,Grubby | WC3 | EPIC | LVL 8.9 BLOODMAGE!,2020-10-20,45220,871,29,100
gWib1eZO7eE,Grubby | WC3 | I&#39;ve Never Had a Game Like THIS!,2020-10-16,34499,713,18,80
C3Q78ZMYmKE,Grubby | WC3 | LVL 8 DK And Animate Dead TWICE!,2020-10-14,34449,602,17,59
dmX2Mt06BVs,Grubby | WC3 | Twitch Chat Roasts Me!,2020-10-13,12457,348,5,47
IFYPrf1Oh78,Grubby | WC3 | Facing MASS ABOMS!,2020-10-12,39571,708,23,53
oQanXX2jZSY,Orc Gets 1 EXTRA FOOD!  - WC3 PTR Patch 1.32.9: Big Changes!,2020-10-07,51141,954,40,241
5dkN47yQpCA,Grubby | WC3 | LVL 9 PANDA!,2020-10-06,44832,718,20,55
IPlbK1NGTlE,Grubby | WC3 | My Heroes Are In DANGER!,2020-10-02,20241,417,7,28
nglQigsmXkU,Grubby | WC3 | SO MANY WISPS!,2020-09-30,12851,322,6,50
opJ1Txyv1H8,Grubby | WC3 | LVL 9 DEMON HUNTER!,2020-09-28,49088,810,22,58
Y6_JjirylC0,Grubby | WC3 | MASS AoE!,2020-09-27,41117,804,17,66
_WFTX_LTtc8,"Grubby | WC3 | I DON&#39;T CARE, NOOB!",2020-09-26,34088,1300,23,231
BhjqmOhDEjY,Grubby | WC3 | 11 Armor RIFLES!,2020-09-21,22382,520,11,39
R2dXbCMeqV0,Grubby | WC3 | &quot;Luck No Skill&quot; - BM chat,2020-09-17,30560,785,12,127
L0povcuX5V8,Grubby | WC3 | Mass Polymorph!,2020-09-16,32149,650,19,75
i06gmhRWxE4,Grubby | WC3 | The &quot;T&quot; REQUEST,2020-09-16,11390,315,8,42
ycZeqz2kD5M,Grubby | WC3 | [LEGENDARY] MASS RAIDER DROP!,2020-09-10,38861,659,26,70
3VG6YsTCV8o,"Grubby | WC3 | Altar Rush, Best Rush?",2020-09-09,39293,834,14,80
F7a6pbangDQ,GRUBBY vs HAPPY | Winners Final - Season 2 W3 Champions Tournament,2020-09-06,52648,1014,29,214
5A8vGLTlzyY,Grubby | WC3 | [EPIC] This Guy LOVES Sappers!,2020-08-30,17322,410,9,34
GZz6vW6kMLo,Grubby | WC3 | [MYTHICAL] DOOM!! - vs INFI,2020-08-09,64582,954,41,98
N2P1sLVaH8c,Grubby | WC3 | [LEGENDARY] I Was Ready To Leave And Write GG...,2020-08-05,36687,938,12,99
_VTUZoB973g,Grubby | WC3 | [SUPERCLASH] vs Infi - WORLD CHAMPION,2020-08-03,82676,1029,30,134
u_jYQe7jYkE,Grubby | WC3 | Raiders To The Rescue!,2020-08-01,12618,326,8,13
1-3_rcue0MY,Grubby | WC3 | Facing The WORLD CHAMPION,2020-08-01,64357,1800,48,243
bU_yItliOuQ,Grubby | WC3 | [MYTHICAL] Maximum TILT,2020-07-27,39470,1061,20,117
HhHikqgAhvk,Grubby | WC3 | [EPIC] The Crown Of Kings,2020-07-25,29246,696,6,62
TqRi5GHQroM,MOON vs TH000 | WGL SEMIFINAL | Warcraft 3 Reforged,2020-07-20,34790,407,15,91
zxUSW63LkxI,MOON vs 120 (Bo5) | Summer 2020 WGL Quarterfinals | Warcraft 3 Reforged,2020-07-19,30679,377,14,56
o1t8L3DFFLM,Grubby | WC3 | [EPIC] Just Make TOWERS!,2020-07-13,32548,550,29,73
JEj0YpocBPs,GRUBBY vs HAPPY | LEGENDARY SHOWMATCH - P.2,2020-07-07,28588,786,15,166
oSqgtQhHUrk,GRUBBY vs HAPPY | LEGENDARY SHOWMATCH - P.1,2020-07-06,49617,1433,28,178
C9sx6-QfMnw,Grubby | First WC3 Champions 4v4 RT!,2020-07-02,32999,577,11,57
ZkPNzCnyJII,Grubby | WC3 | My Worst Fear: Blizzard LVL3,2020-06-30,25514,461,9,62
KwQp1ArP0WU,Grubby | WC3 | [EPIC] FULL Offense Power!,2020-06-29,25599,495,13,44
z7ZM6SB5DCc,Grubby | WC3 | [SUPERFIGHT] Grubby vs Sonik,2020-06-27,30992,541,12,61
v3TnBX4eITI,Grubby | WC3 | [LEGENDARY] HOW?!,2020-06-26,36059,955,15,102
